combo_id,module,task,model,device,dataset,fe_preset,outcome,exit_code,wall_seconds,artifact_training_base,artifact_training_quantization,error_signature
generic_timeseries_regression__REGR_4k,timeseries,generic_timeseries_regression,REGR_4k,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-esdulr71/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_500_NPU,timeseries,generic_timeseries_regression,REGR_500_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-iighmk3e/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_6k_NPU,timeseries,generic_timeseries_regression,REGR_6k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.5,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-upinv4xi/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
generic_timeseries_regression__REGR_8k_NPU,timeseries,generic_timeseries_regression,REGR_8k_NPU,F280013,generic_timeseries_regression,Generic_8Input_ABS_8Feature_1Frame,ARTIFACT-MISSING,0,7.4,False,False,File: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-fb-z8q7w8gl/proj/run/dataset/files/file_4.csv. Error message: index 2 is out of bounds for axis 0 with size 2
motor_fault__MotorFault_model_1_t,timeseries,motor_fault,MotorFault_model_1_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,12.2,False,False,"ValueError: Model 'CNN_MF_1L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
motor_fault__MotorFault_model_2_t,timeseries,motor_fault,MotorFault_model_2_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,12.1,False,False,"ValueError: Model 'CNN_MF_2L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
motor_fault__MotorFault_model_3_t,timeseries,motor_fault,MotorFault_model_3_t,F280013,fan_blade_fault,Input128_RAW_128Feature_1Frame_3InputChannel_removeDC_2D1,TRAIN-FAIL,1,12.1,False,False,"ValueError: Model 'CNN_MF_3L' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K', 'C"
pir_detection__PIRDetection_model_1_t,timeseries,pir_detection,PIRDetection_model_1_t,CC2755,pir_detection,PIRDetection_125Input_25Feature_25Frame_1InputChannel_2D,TRAIN-FAIL,1,249.2,True,False,"AssertionError: min tensor([nan, nan, nan, nan, nan, nan, nan, nan]) should be less than max tensor([nan, nan, nan, nan, nan, nan, nan, nan])"
audio_classification__DSCNN_NPU,audio,audio_classification,DSCNN_NPU,MSPM0G3507,generic_audio_classification,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-kx07bi8t/proj/dataset
image_classification__Lenet5,vision,image_classification,Lenet5,MSPM0G3507,mnist_image_classification,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-e33g6g6u/proj/dataset
image_classification__MobileNetV1_58k_NPU,vision,image_classification,MobileNetV1_58k_NPU,MSPM0G3507,mnist_image_classification,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-9d3y97o_/proj/dataset
image_classification__MobileNetV2_58k_NPU,vision,image_classification,MobileNetV2_58k_NPU,MSPM0G3507,mnist_image_classification,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-r2hlonq8/proj/dataset
